nome,codigo
Easynvest - Título Corretora de Valores SA,140
Facta Financeira S.A. - Crédito Financiamento e Investimento,149
Fair Corretora de Câmbio S.A.,196
Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.,331
Frente Corretora de Câmbio Ltda.,285
Genial Investimentos Corretora de Valores Mobiliários S.A.,278
Get Money Corretora de Câmbio S.A.,138
Goldman Sachs do Brasil Banco Múltiplo S. A.,64
Guide Investimentos S.A. Corretora de Valores,177
Guitta Corretora de Câmbio Ltda.,146
Haitong Banco de Investimento do Brasil S.A.,78
Hipercard Banco Múltiplo S.A.,62
HS Financeira S/A Crédito Financiamento e Investimentos,189
HSBC Brasil S.A. Banco de Investimento,269
IB Corretora de Câmbio Títulos e Valores Mobiliários S.A.,271
ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,157
ICBC do Brasil Banco Múltiplo S.A.,132
ING Bank N.V.,492
Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,139
Itaú Unibanco S.A.,341
Itaú Unibanco Holding S.A.,652
JPMorgan Chase Bank National Association,488
Kirton Bank S.A. - Banco Múltiplo,399
Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.,293
Lecca Crédito Financiamento e Investimento S/A,105
Levycam - Corretora de Câmbio e Valores Ltda.,145
Magliano S.A. Corretora de Cambio e Valores Mobiliarios,113
MercadoPago.com Representações Ltda.,323
Money Plus Sociedade de Crédito ao Microempreendedor e a Empresa de Pequeno Port,274
MS Bank S.A. Banco de Câmbio,128
Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,191
Novo Banco Continental S.A. - Banco Múltiplo,753
Nu Pagamentos S.A.,260
Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.,111
OM Distribuidora de Títulos e Valores Mobiliários Ltda.,319
Omni Banco S.A.,613
Órama Distribuidora de Títulos e Valores Mobiliários S.A.,325
Otimo Sociedade de Credito Direto S.A.,355
Pagseguro Internet S.A.,290
Parana Banco S. A.,254
Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda.,194
Pernambucanas Financiadora S.A. Crédito Financiamento e Investimento,174
PI Distribuidora de Títulos e Valores Mobiliários S.A.,315
Planner Corretora de Valores S.A.,100
Plural S.A. Banco Múltiplo,125
Pólocred Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte,93
PortoCred S.A. Crédito Financiamento e Investimento,108
Portopar Distribuidora de Títulos e Valores Mobiliários Ltda.,306
QI Sociedade de Crédito Direto S.A.,329
RB Capital Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.,283
Renascença Distribuidora de Títulos e Valores Mobiliários Ltda.,101
Sagitur Corretora de Câmbio Ltda.,270
Scotiabank Brasil S.A. Banco Múltiplo,751
Senff S.A. - Crédito Financiamento e Investimento,276
Senso Corretora de Câmbio e Valores Mobiliários S.A.,545
Servicoop - Cooperativa de Crédito dos Servidores Públicos Estaduais do Rio Gran,190
Socred S.A. - Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno P,183
Sorocred - Crédito Financiamento e Investimento S/A,299
Standard Chartered Bank (Brasil) S.A. Banco de Investimento,118
State Street Brasil S.A. - Banco Comercial,14
Stone Pagamentos S.A.,197
Super Pagamentos e Administração de Meios Eletrônicos S.A.,340
Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.,307
Travelex Banco de Câmbio S.A.,95
Treviso Corretora de Câmbio S.A.,143
Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda.,131
UBS Brasil Banco de Investimento S.A.,129
UBS Brasil Corretora de Câmbio Títulos e Valores Mobiliários S.A.,15
Uniprime Central – Central Interestadual de Cooperativas de Crédito Ltda.,99
Uniprime Norte do Paraná - Cooperativa de Crédito Ltda.,84
Vip's Corretora de Câmbio Ltda.,298
Vision S.A. Corretora de Câmbio,296
Vortx Distribuidora de Títulos e Valores Mobiliários Ltda.,310
XP Investimentos Corretora de Câmbio Títulos e Valores Mobiliários S.A.,102
