id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
59;EM PROF JOSE PEREIRA DA SILVA;29405106;Ativa;Publica;Municipal;48906-788;;AVENIDA AVENIDA SAO FRANCISCO, S/N ITABERABA.;Urbana;-9.449707344;-40.48237639;(74) 988542694;;NÃO;Entre 501 e 1000 matrículas de escolarização
60;EM PROF MATILDE COSTA MEDRADO;29025770;Ativa;Publica;Municipal;48922-000;;CARNAIBA DE DENTRO, S/N ZONA RURAL. CARNAIBA DO SERTAO.;Rural;-9.583793333;-40.37273333;(74) 988526535;;NÃO;Entre 51 e 200 matrículas de escolarização
61;EM PROF PEDRO RAYMUNDO RODRIGUES REGO;29025478;Ativa;Publica;Municipal;48900-042;;PRACA PRACA ANTONIO TANURY, PIRANGA.;Urbana;-9.43355759;-40.50829139;(74) 999207201;;NÃO;Entre 501 e 1000 matrículas de escolarização
62;EM PROFª ANTONILA DA FRANCA CARDOSO;29026873;Ativa;Publica;Municipal;48922-400;;LOCALIDADE DE ANGICO,;Rural;;;;;NÃO;Entre 51 e 200 matrículas de escolarização
63;EM PROFª ATANILHA LUZ ARAUJO;29026989;Ativa;Publica;Municipal;48922-600;;RUA DOS BUTINS, S/N PREDIO. MASSAROCA.;Rural;-9.874681;-40.28399;;;NÃO;Entre 51 e 200 matrículas de escolarização
64;EM PROFª BERNADETE BRAGA;29026695;Ativa;Publica;Municipal;48922-200;;POVOADO GANGORRA II, S/N SALITRE.;Rural;-9.82768;-40.621945;;;NÃO;Até 50 matrículas de escolarização
65;EM PROFª CARMEN COSTA SANTOS;29024692;Ativa;Publica;Municipal;48909-241;;AVENIDA IRMA DULCE, S/N ALTO DA ALIANCA.;Urbana;-9.44759701;-40.49795363;;;NÃO;Entre 501 e 1000 matrículas de escolarização
66;EM PROFª CRENILDES LUIZ BRANDAO;29024900;Ativa;Publica;Municipal;48904-115;;RUA RUA ALFREDO NUNES DE OLIVEIRA, S/N COREIA.;Urbana;-9.416252;-40.49656;;;NÃO;Entre 201 e 500 matrículas de escolarização
67;EM PROFª DINORAH ALBERNAZ MELO DA SILVA;29025036;Ativa;Publica;Municipal;48906-798;;RUA RUA PETRONILIO BRITO DOS SANTOS, S/N ITABERABA.;Urbana;-9.44842147;-40.48518834;;;NÃO;Entre 501 e 1000 matrículas de escolarização
68;EM PROFª EDUALDINA DAMASIO;29026709;Ativa;Publica;Municipal;48922-200;;LOCALIDADE CAMPO DOS CAVALOS, S/N SALITRE. JUNCO.;Rural;-9.56177243;-40.65503764;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
